"FAWN Station","Period","10m T avg (F)","10m T min (F)","10m T max (F)","RelHum avg 2m  (pct)","2m Rain tot (in)","2m Rain max over 15min (in)","SolRad avg2m  (w/m^2)","N (# obs)"
"Alachua","24 Feb 2000","63.09","49.71","75.99","76","0.00","0.00","189.99","96"
"Alachua","25 Feb 2000","63.36","47.80","76.75","74","0.00","0.00","177.26","96"
"Alachua","26 Feb 2000","63.75","48.07","75.56","73","0.00","0.00","165.08","96"
"Alachua","27 Feb 2000","65.53","58.23","77.31","78","0.07","0.03","137.44","96"
"Alachua","28 Feb 2000","60.80","50.79","71.53","75","0.00","0.00","231.68","96"
"Alachua","29 Feb 2000","60.28","42.41","78.51","73","0.00","0.00","228.67","96"
"Alachua","2 Mar 2000","67.27","60.10","79.05","81","0.00","0.00","141.22","96"
"Alachua","3 Mar 2000","66.71","55.53","78.96","71","0.00","0.00","219.46","96"
"Alachua","4 Mar 2000","66.83","52.81","76.59","76","0.16","0.03","158.28","96"
"Alachua","5 Mar 2000","58.69","42.82","75.67","72","0.01","0.01","213.82","96"
"Alachua","6 Mar 2000","61.43","45.27","76.50","70","0.00","0.00","200.83","96"
"Alachua","7 Mar 2000","62.04","45.72","76.80","68","0.00","0.00","221.83","96"
"Alachua","8 Mar 2000","64.82","48.49","79.43","69","0.00","0.00","225.96","96"
"Alachua","9 Mar 2000","68.59","59.16","80.35","71","0.00","0.00","188.97","96"
"Alachua","10 Mar 2000","66.59","52.38","80.04","74","0.00","0.00","211.31","96"
"Alachua","11 Mar 2000","68.64","54.90","80.13","74","0.03","0.02","204.51","96"
"Alachua","12 Mar 2000","58.12","46.49","69.28","65","0.05","0.01","267.07","96"
"Alachua","13 Mar 2000","53.67","34.09","71.83","64","0.00","0.00","268.98","96"
"Alachua","14 Mar 2000","58.29","44.32","72.16","78","0.00","0.00","238.22","96"
"Alachua","15 Mar 2000","65.00","52.12","77.04","71","0.00","0.00","224.66","96"
"Alachua","16 Mar 2000","70.12","62.94","81.91","80","0.07","0.02","140.75","96"
"Alachua","17 Mar 2000","65.95","58.78","73.54","85","0.00","0.00","110.59","96"
"Alachua","18 Mar 2000","63.21","55.09","70.81","88","0.01","0.01","170.69","96"
"Alachua","19 Mar 2000","66.57","61.39","71.94","75","0.07","0.01","94.61","96"
"Alachua","20 Mar 2000","68.08","51.75","77.81","72","0.06","0.01","218.78","96"
"Alachua","21 Mar 2000","62.63","44.07","82.35","66","0.00","0.00","279.31","96"
"Alachua","22 Mar 2000","63.71","50.65","78.10","75","0.00","0.00","230.84","96"
"Alachua","23 Mar 2000","58.06","48.38","67.35","80","0.00","0.00","203.51","96"
"Alachua","24 Mar 2000","63.93","51.57","76.66","72","0.00","0.00","241.42","96"
"Alachua","25 Mar 2000","64.93","46.44","80.42","71","0.00","0.00","215.57","96"
"Alachua","26 Mar 2000","64.64","60.17","76.98","88","0.54","0.03","146.78","96"
"Alachua","27 Mar 2000","67.06","60.37","74.35","84","0.21","0.01","150.49","96"
